DEPTH	Depth (m)	Depth bsf	Caliper	Bulk Density Correction	Sonic	Gamma Ray	IL-Deep Resistivity	Latero-Log Deep	Latero-Log Shallow	MSFL Resistivity	Neutron Porosity	Photo Electric Factor	Bulk Density	Spherical Focusing Log	Spontaneous Potential
9341.5	2847.2892	2723.2892	13.708	-0.01	82.3282	102.9392	-999.25	5.8897	4.4534	1.5193	19.846	1.8586	2.4651	-999.25	58.5107
9342	2847.4416	2723.4416	13.71	-0.0072	83.1906	103.5519	-999.25	6.0824	4.6594	2.294	21.0246	1.8307	2.4711	-999.25	58.1383
9342.5	2847.594	2723.594	13.7112	-0.0076	84.0489	103.1252	-999.25	6.1819	4.7793	2.4734	23.1895	1.8509	2.4893	-999.25	57.6232
9343	2847.7464	2723.7464	13.7124	-0.012	84.4485	105.6944	-999.25	6.1517	4.8932	3.077	25.0905	1.8893	2.5078	-999.25	57.4454
9343.5	2847.8988	2723.8988	13.7114	-0.0174	84.4042	111.9108	-999.25	6.1405	5.0476	3.8931	25.9599	1.916	2.527	-999.25	57.4795
9344	2848.0512	2724.0512	13.7076	-0.0225	84.1531	115.6964	-999.25	6.3205	5.1356	3.0082	25.2183	1.9262	2.538	-999.25	57.1694
9344.5	2848.2036	2724.2036	13.7037	-0.0253	84.1216	117.3212	-999.25	6.2677	5.0983	6.6154	23.7019	1.9221	2.5361	-999.25	56.7973
9345	2848.356	2724.356	13.7012	-0.0242	84.7235	118.0252	-999.25	5.919	4.7832	7.5908	26.2034	1.9081	2.535	-999.25	56.5532
9345.5	2848.5084	2724.5084	13.7013	-0.0208	85.9914	119.914	-999.25	5.5203	4.3116	5.4912	28.4132	1.864	2.5409	-999.25	56.5199
9346	2848.6608	2724.6608	13.7014	-0.017	87.5755	123.5128	-999.25	5.0032	3.9144	6.349	30.0043	1.766	2.5345	-999.25	56.7658
9346.5	2848.8132	2724.8132	13.701	-0.0133	89.1267	126.3121	-999.25	4.4971	3.566	7.4758	30.6814	1.641	2.5212	-999.25	56.9574
9347	2848.9656	2724.9656	13.6995	-0.0107	90.125	127.3467	-999.25	4.0463	3.2582	7.4233	29.7883	1.5141	2.5079	-999.25	57.096
9347.5	2849.118	2725.118	13.698	-0.0091	89.4199	126.6232	-999.25	3.7876	3.0355	7.4085	27.8699	1.4256	2.5007	-999.25	57.1626
9348	2849.2704	2725.2704	13.6965	-0.0096	86.8372	124.138	-999.25	3.5994	2.9219	6.7814	24.3179	1.3744	2.5065	-999.25	57.2414
9348.5	2849.4228	2725.4228	13.6987	-0.0117	84.1202	121.3662	-999.25	3.457	2.8825	5.2581	21.9467	1.3474	2.5194	-999.25	57.3351
9349	2849.5752	2725.5752	13.7041	-0.0143	82.3858	118.7641	-999.25	3.4571	2.9479	4.1354	20.547	1.3502	2.5356	-999.25	57.4449
9349.5	2849.7276	2725.7276	13.7096	-0.016	81.3176	116.4062	-999.25	3.5474	3.0467	4.3013	20.1909	1.3247	2.5478	-999.25	57.3012
9350	2849.88	2725.88	13.7159	-0.0123	80.6127	114.4781	-999.25	3.7298	3.1113	4.6827	20.2624	1.2979	2.5562	-999.25	56.8949
9350.5	2850.0324	2726.0324	13.7229	-0.009	80.1634	113.1453	-999.25	3.9295	3.082	5.286	19.6229	1.3099	2.5622	-999.25	56.4665
9351	2850.1848	2726.1848	13.7295	-0.0089	79.7763	112.6814	-999.25	4.1228	3.1558	5.2015	18.4045	1.3833	2.5692	-999.25	56.2393
9351.5	2850.3372	2726.3372	13.7324	-0.0124	79.3446	113.294	-999.25	4.2982	3.2844	4.9516	17.3049	1.4871	2.5774	-999.25	56.1125
9352	2850.4896	2726.4896	13.7353	-0.0154	78.7869	114.2232	-999.25	4.4194	3.3794	5.4564	17.1756	1.5744	2.5871	-999.25	55.809
9352.5	2850.642	2726.642	13.7366	-0.0176	78.3614	114.988	-999.25	4.5091	3.3788	5.7437	18.3035	1.6372	2.5915	-999.25	55.5434
9353	2850.7944	2726.7944	13.7304	-0.0156	78.9347	115.4511	-999.25	4.5252	3.2557	5.8237	20.5088	1.6656	2.5882	-999.25	55.3962
9353.5	2850.9468	2726.9468	13.7241	-0.0107	80.5574	115.1317	-999.25	4.3121	3.1091	6.2088	22.8338	1.6578	2.5815	-999.25	55.4585
